SKU;Item Description;Category;SubCategory;Sub-SubCategory;Brand
CH015EL38PVXANPH-55049;Cherry Mobile Flare (Black) UNLOCKED;Mobiles & Tablets;Mobile Accessories;Cases & Covers;-
CO686EL20BRJANPH-42496;Coby Kyros MID7042 7'''' Android 4.0 4GB with Wi-Fi (Black);Mobiles & Tablets;Tablets;Tablets without Call Facility;Coby
SO446EL71IKIANPH-48250;SONY Smartwatch Gen 1 (with Black Velcro Strap);Mobiles & Tablets;Mobiles;Smartphones;Sony
IV240EL68VDFANPH-60576;iView 754 TPC 7'''' Android 4.0 4GB with Wi-Fi (White);Mobiles & Tablets;Tablets;Tablets without Call Facility;iView
IV240EL92UYLANPH-60452;iView 792 TPC 7'''' Android 4.0 8GB with Wi-Fi and 3G (Black);Computers & Laptops;Tablets;Tablets with Call Facility;iView
CO686EL29VUCANPH-61199;Coby 32'''' HD LED TV 3256T;Consumer electronics;TV & Video;Televisons;Coby
CO686EL40VLZANPH-60988;Coby Kyros MID7032 7'''' Android 4.0 4GB with Wi-Fi (Black);Mobiles & Tablets;Tablets;Tablets without Call Facility;Coby
CO686EL17BRMANPH-42499;Coby Kyros MID1042 10.1'''' Android 4.0 8GB with Wi-Fi (Black);Computers & Laptops;Tablets;Tablets without Call Facility;Coby
TO655EL21RJAANPH-56355;Torque Droidz Portal 4GB (Titan Black);Mobiles & Tablets;Tablets;Tablets with Call Facility;Torque
SK815EL01TTIANPH-59114;Skyworth S7 7'''' Android 4.0 4GB with Wi-Fi (Black);Computers & Laptops;Tablets;Tablets without Call Facility;Skyworth
CH015EL39PVWANPH-55048;Cherry Mobile Titan (Black) UNLOCKED;Mobiles & Tablets;Mobiles;Smartphones;Cherry Mobile
HA938EL32PGTANPH-54438;Haipad A13 7'''' Android 4.0 4GB with Wifi (Candy Pink) with free Toshiba 4GB MicroSD;Mobiles & Tablets;Tablets;Tablets without Call Facility;Haipad
TO655EL38KVDANPH-51024;Torque DROIDZ Flash 7'' Android 4.0 4GB with Wi-Fi (Black);Mobiles & Tablets;Tablets;Tablets without Call Facility;Torque
CH015EL77ALIANPH-65358;Cherry Mobile Thunder 4GB (Black);Mobiles & Tablets;Mobiles;Smartphones;
IV240EL84WLFANPH-62039;iView 900TPCII 9'''' Android 4.0 8GB with Wi-Fi (Black);Mobiles & Tablets;Tablets;Tablets without Call Facility;iView
MY328EL24VUHANPH-61204;My View 32'''' HD LED TV 32PX100;Consumer Electronics;TV & Video;Televisons;My View
CH015EL91WOUANPH-62247;Cherry Mobile Titan 4GB (White);Mobiles & Tablets;Mobiles;-;Cherry Mobile
CH015EL49AIOANPH-65286;Cherry Mobile Flare 4GB (Black) with Free Metallic Power Bank 2600mAh with Switch;Mobiles & Tablets;Mobiles;Smartphones;
CH015EL72PMXANPH-54815;Cherry Mobile Cherry Pad Tornado 7'''' Android 4.0 8GB with WiFi (Black);Mobiles & Tablets;Tablets;Tablets without Call Facility;Cherry Mobile
